"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"78","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","-0.1%","1724.6","18,03,750"
"158","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","-0.1%","454.1","5,09,586"
"9","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","-0.11%","12502","1,54,124"
"49","Angel One Ltd","ANGELONE","P&F | F.A","-0.15%","2674.8","8,92,131"
"19","Interglobe Aviation Limited","INDIGO","P&F | F.A","-0.17%","5930.5","7,87,927"
"41","Siemens Limited","SIEMENS","P&F | F.A","-0.18%","3146.8","3,61,397"
"146","Indian Bank","INDIANB","P&F | F.A","-0.22%","633.7","10,07,442"
"192","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","-0.23%","243.67","78,43,093"
"74","Bharat Dynamics Ltd","BDL","P&F | F.A","-0.25%","1819.6","13,14,552"
"182","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","-0.28%","270.75","21,60,136"
"152","Jsw Energy Limited","JSWENERGY","P&F | F.A","-0.29%","528.95","24,22,923"
"58","Asian Paints Limited","ASIANPAINT","P&F | F.A","-0.34%","2393.5","6,10,228"
"51","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-0.37%","2655.5","3,09,635"
"113","Jsw Steel Limited","JSWSTEEL","P&F | F.A","-0.38%","1035","9,82,842"
"96","Torrent Power Limited","TORNTPOWER","P&F | F.A","-0.4%","1397.9","2,51,325"
"23","Persistent Systems Limited","PERSISTENT","P&F | F.A","-0.42%","5581.5","5,26,344"
"143","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","-0.43%","669.6","34,60,481"
"137","Jindal Stainless Limited","JSL","P&F | F.A","-0.44%","688.05","3,68,020"
"6","Dixon Technologies","DIXON","P&F | F.A","-0.47%","15823","2,03,686"
"210","Union Bank Of India","UNIONBANK","P&F | F.A","-0.53%","146.23","90,51,803"
"187","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","-0.55%","262.05","16,14,022"
"108","Axis Bank Limited","AXISBANK","P&F | F.A","-0.58%","1165.9","47,76,756"
"226","Idea Cellular Limited","IDEA","P&F | F.A","-0.65%","7.66","34,27,36,162"
"21","Abb India Limited","ABB","P&F | F.A","-0.7%","5608","4,54,159"
"61","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","-0.71%","2188.1","29,74,143"
"219","Nhpc Limited","NHPC","P&F | F.A","-0.77%","88.1","1,25,15,929"
"18","Kaynes Technology India Ltd","KAYNES","P&F | F.A","-0.8%","5975","1,99,416"
"190","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-0.81%","250.9","59,91,544"
"64","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-0.84%","2002.7","6,96,914"
"185","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-0.86%","265.85","14,09,836"
"207","Tata Steel Limited","TATASTEEL","P&F | F.A","-0.9%","159","1,79,93,051"
"132","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","-1.03%","756.85","28,42,400"
"122","SBI Cards & Payment Services Ltd","SBICARD","P&F | F.A","-1.08%","893.75","15,85,513"
"88","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","-1.26%","1491.8","4,18,564"
"72","SBI Life Insurance Company Ltd","SBILIFE","P&F | F.A","-1.43%","1824.8","13,13,007"
"184","Eternal Ltd","ETERNAL","P&F | F.A","-1.53%","266.45","3,50,90,527"
"223","Nmdc Limited","NMDC","P&F | F.A","-1.58%","67.98","3,41,13,955"
"52","Mankind Pharma Ltd","MANKIND","P&F | F.A","-1.69%","2651","5,97,283"
"197","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","-1.8%","216.06","40,39,612"
"222","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","-1.8%","72.93","2,92,58,552"
"84","Hcl Technologies Limited","HCLTECH","P&F | F.A","-3.3%","1566.4","1,46,85,607"
"205","Inox Wind Limited","INOXWIND","P&F | F.A","-6.68%","164.75","1,52,13,497"
